node_id:ID(Paper),paper_no:int,:LABEL
643225,643225,Paper
950880,950880,Paper
599673,599673,Paper
643749,643749,Paper
1118587,1118587,Paper
1129367,1129367,Paper
1128174,1128174,Paper
617946,617946,Paper
618192,618192,Paper
618034,618034,Paper
618187,618187,Paper
1470549,1470549,Paper
1236510,1236510,Paper
597946,597946,Paper
1118518,1118518,Paper
643473,643473,Paper
1224268,1224268,Paper
303489,303489,Paper
303559,303559,Paper
