node_id:ID(Keyword),word,:LABEL
page,page,Keyword
classification,classification,Keyword
temporal,temporal,Keyword
association,association,Keyword
rule,rule,Keyword
mining,mining,Keyword
framework,framework,Keyword
real,real,Keyword
time,time,Keyword
sensor,sensor,Keyword
network,network,Keyword
applications,applications,Keyword
query,query,Keyword
processing,processing,Keyword
networks,networks,Keyword
data,data,Keyword
non,non,Keyword
streams,streams,Keyword
