:START_ID(Paper),:END_ID(Paper),:TYPE
643225,950880,P2P
643225,599673,P2P
643225,643749,P2P
643225,1118587,P2P
643225,1129367,P2P
643225,1128174,P2P
643225,617946,P2P
643225,618192,P2P
643225,618034,P2P
643225,618187,P2P
1236510,597946,P2P
1236510,1118518,P2P
1236510,643473,P2P
1236510,1224268,P2P
1236510,303489,P2P
1236510,303559,P2P
